Energy_MeV,Total_dEdx_MeV_per_cm,Mass_dEdx_MeV_cm2_per_g
171.1000,3.693396,3.693396
171.6000,3.686171,3.686171
172.6000,3.671841,3.671841
173.1000,3.664736,3.664736
174.1000,3.650644,3.650644
174.6000,3.643656,3.643656
175.6000,3.629795,3.629795
176.1000,3.622921,3.622921
177.1000,3.609286,3.609286
177.6000,3.602523,3.602523
178.6000,3.589108,3.589108
179.1000,3.582455,3.582455
180.1000,3.569255,3.569255
180.6000,3.562708,3.562708
181.6000,3.549717,3.549717
182.1000,3.543274,3.543274
183.1000,3.530488,3.530488
183.6000,3.524146,3.524146
184.6000,3.511561,3.511561
185.1000,3.505318,3.505318
186.1000,3.492928,3.492928
186.6000,3.486781,3.486781
187.6000,3.474583,3.474583
188.1000,3.468530,3.468530
189.1000,3.456519,3.456519
189.6000,3.450558,3.450558
190.6000,3.438729,3.438729
191.1000,3.432859,3.432859
192.1000,3.421208,3.421208
192.6000,3.415426,3.415426
193.6000,3.403949,3.403949
194.1000,3.398254,3.398254
195.1000,3.386948,3.386948
195.6000,3.381336,3.381336
196.6000,3.370197,3.370197
197.1000,3.364668,3.364668
198.1000,3.353692,3.353692
198.6000,3.348243,3.348243
199.6000,3.337427,3.337427
200.1000,3.332057,3.332057
201.1000,3.321397,3.321397
201.6000,3.316105,3.316105
202.6000,3.305597,3.305597
203.1000,3.300381,3.300381
204.1000,3.290022,3.290022
204.6000,3.284880,3.284880
205.6000,3.274668,3.274668
206.1000,3.269598,3.269598
207.1000,3.259530,3.259530
207.6000,3.254531,3.254531
208.6000,3.244603,3.244603
209.1000,3.239674,3.239674
210.1000,3.229883,3.229883
210.6000,3.225022,3.225022
211.6000,3.215366,3.215366
212.1000,3.210572,3.210572
213.1000,3.201048,3.201048
213.6000,3.196318,3.196318
214.6000,3.186924,3.186924
215.1000,3.182259,3.182259
216.1000,3.172991,3.172991
216.6000,3.168388,3.168388
217.6000,3.159245,3.159245
218.1000,3.154704,3.154704
219.1000,3.145682,3.145682
219.6000,3.141201,3.141201
220.6000,3.132299,3.132299
221.1000,3.127877,3.127877
222.1000,3.119092,3.119092
222.6000,3.114728,3.114728
223.6000,3.106058,3.106058
224.1000,3.101751,3.101751
225.1000,3.093193,3.093193
225.6000,3.088942,3.088942
226.6000,3.080494,3.080494
227.1000,3.076298,3.076298
228.1000,3.067959,3.067959
228.6000,3.063816,3.063816
229.6000,3.055583,3.055583
230.1000,3.051493,3.051493
231.1000,3.043365,3.043365
231.6000,3.039326,3.039326
232.6000,3.031300,3.031300
233.1000,3.027312,3.027312
234.1000,3.019386,3.019386
234.6000,3.015448,3.015448
235.6000,3.007621,3.007621
236.1000,3.003732,3.003732
237.1000,2.996002,2.996002
237.6000,2.992161,2.992161
238.6000,2.984525,2.984525
239.1000,2.980731,2.980731
240.1000,2.973190,2.973190
240.6000,2.969442,2.969442
241.6000,2.961992,2.961992
242.1000,2.958289,2.958289
243.1000,2.950929,2.950929
243.6000,2.947271,2.947271
244.6000,2.939999,2.939999
245.1000,2.936385,2.936385
246.1000,2.929201,2.929201
246.6000,2.925630,2.925630
247.6000,2.918530,2.918530
248.1000,2.915002,2.915002
249.1000,2.907986,2.907986
249.6000,2.904499,2.904499
